zone,practice_id,practice_name,speciality,monetisable_txns,practice_reference_id
hsr layout,1315368,Svasthya Health,General Physician,82,6d28e7a3-d22c-4dea-ba07-5cd44a9b0d19
hsr layout,779908,Akshatha Skin And Hair Care Centre,General Dermatology,80,d572cbf7-7fbb-42bf-8e99-0d259eb9b067
hsr layout,1183274,Oliva Skin & Hair Clinic,Dietitian; General Dermatology,79,598bd6d2-7212-49c4-ad67-ce224f858624
hsr layout,1157517,Impla Dental Care,General Dentistry,77,7def6fc2-8874-4a64-a11f-a1ba55179ef2
hsr layout,670682,Cosmetic Skin Care Clinic,General Dermatology; General Gynecology; General Surgeon,75,6338b82e-46e1-4a8f-b4f4-7aee9439338e
hsr layout,788401,Matoshree Kidney Stone Center & UroNephro Clinic,Urologist,74,83210294-bb9b-433d-b432-df0c67d0642b
hsr layout,1453678,Docube Healthcare Pvt Ltd,ENT; General Gynecology; General Physician; General Surgeon; Pulmonologist; Veterinarian,73,48851ebf-743e-4505-a23c-6eb76fbf1b04
hsr layout,1264968,Sports Orthopedics Institute,Orthopaedics,73,8439f822-e582-4d63-908d-fc5039c1d53c
hsr layout,1177154,Passion Fruit Relationship & Sexual Wellness,Sexologist,73,8d9c965e-5474-41db-b26d-feff40c38209
hsr layout,1158589,Svasti Heart and Dental Care,Cardiologist; General Dentistry; General Pediatrics; Nephrologist; Neurologist,72,f2136424-a2a9-4ef9-8317-d178d23cec31
hsr layout,1130291,Kosmodent Dental Studio and Implant Centre,General Dentistry,71,fee82bed-1525-4660-8d67-13a7d1013f30
hsr layout,1428535,Wisden Clinics,General Dentistry; General Physician,70,cd7cba3b-691d-4214-afca-b39179d11934
hsr layout,695001,"Magna Centres For Obesity, Diabetes & Endocrinology",Dietitian; ENT; Endocrinologist; General Physician; General Psychiatry,68,41b40b1c-156b-43d1-8854-b0eb918810f4
hsr layout,1154158,BAU - Bangalore Advanced Urology Clinic,Urologist,68,a65396b0-fea6-43e6-8508-1fcfaa21670f
hsr layout,690228,Senses ENT Care Centre,ENT,65,277aab35-220f-465b-87a4-d89b0f56be16
hsr layout,1257178,Mommy and Me,General Gynecology,64,5ceaace9-d197-49a1-b840-de06f3d0fab3
hsr layout,2075718,Vasan Eye Care,General Ophthalmology,64,1dd03a1b-3b92-4034-a13e-938a0fe97e66
hsr layout,660707,Anexas Clinic,General Pediatrics,63,b882a048-0ce3-4423-a70a-7f337c56f5d5
hsr layout,731436,Care Speciality Clinic,Audiologist; ENT; General Pediatrics,62,c7442935-f688-432a-a7a3-5120c8555065
hsr layout,1103970,Geeta's ENT and Urology centre,ENT; Urologist,62,b54e90b7-c99c-40cb-822c-7c616b092052
hsr layout,2089770,Devi Super Speciality Eye Hospital,General Ophthalmology,62,eb844072-bcbf-4290-a7a3-d03a186b725b
hsr layout,849768,Health Nest,Cardiologist; ENT; General Dentistry; General Dermatology; General Gynecology; General Pediatrics; General Physician; General Surgeon; Nephrologist; Orthopaedics; Physiotherapist; Radiology; Urologist,60,0d66909b-ef68-4c8b-9d6d-918a8c04987c
hsr layout,808840,Growing Up Children's Clinic,General Alt Medicine; General Pediatrics; General Psychiatry,60,3544dfe3-ab49-41f8-8b1d-d89c1b09bec3
hsr layout,769086,Little Pearls Dental Clinic,General Dentistry,59,aa18d012-edfd-4a0a-8f99-30fb8af3a4c8
hsr layout,758327,Foods & Nutrition by Silky Mahajan,Dietitian,58,fbe7501a-fd79-4251-b7fe-6cb78edc4073
hsr layout,1450592,Rainbow Children’s Hospital,ENT; General Gynecology; General Pediatrics; General Psychiatry; General Surgeon; Radiology,58,3d1d8e2d-3743-4e31-bc5b-547460cc32e2
hsr layout,748306,Punarjani ENT Care,ENT,57,fd162f6c-4426-400b-88a4-4b38b2388c46
hsr layout,1430660,Allo Sexual Health Clinic,Sexologist,54,97610c90-ef05-47d5-8069-5d6cef8c232f
hsr layout,1379886,United Medical Center,Dietitian; General Gynecology; General Physician; General Surgeon; Orthopaedics,52,844cce89-6f7e-4ea6-ad9b-e8b57afbadf0
hsr layout,1463193,Dr. Shetty's Centre Of Orthopaedics,Orthopaedics,50,7b8e82a2-d938-47f3-baca-23aef57f5d49
hsr layout,630242,St John Medical College and Hospital,Cardiologist; ENT; General Gynecology; General Ophthalmology; General Physician; General Psychiatry; Neurologist; Orthopaedics; Physiotherapist,48,b902cc3c-119a-49dd-85a6-2013b2d27a04
hsr layout,1421287,Treehouse Clinic,General Pediatrics; Oncologist,48,efb6e87c-8b7f-44ef-aaca-96dfaa811d3c
hsr layout,1594164,Curolive Multispeciality Centre,General Pediatrics; General Physician,48,2d49ab9c-d09c-41aa-9988-344593a10c23
hsr layout,1247778,BTM Neuro Spine Care Clinic,General Pediatrics; Neurologist,48,21fdbf7e-534d-48a8-b83d-1d3a791f1f97
hsr layout,1295322,Padithem Health Care,General Physician,48,7bebfab5-3fd7-4bdf-96f7-fecebae93a80
hsr layout,1464364,Allo Sexual Health Clinic,Sexologist,48,96d6d89a-a56b-4228-8254-6d74064ebe75
hsr layout,1608909,Vyshnavi Hospitals,Dietitian; General Dermatology; General Gynecology; General Pediatrics; General Physician; General Surgeon; Orthopaedics; Radiology; Urologist,47,cd2f9ed3-9eae-4b97-afaf-a0d624d7b750
hsr layout,1279874,Dr Alva's Skin and Hair Clinic,General Dermatology,47,c16277a3-2ce1-45ce-9222-3e353ff77748
hsr layout,1714658,MySugars.in,General Physician,47,72087c5b-1305-48c4-a3fe-cb30a651b5d2
hsr layout,1473114,Archish Fertility & IVF,General Gynecology; Urologist,46,f2464871-6ebe-4fad-b622-9b9688327c31
hsr layout,1258011,Sakra Premium Clinic,Cosmetic/Plastic Surgeon; ENT; Gastroenterologist; General Dentistry; General Dermatology; General Pediatrics; General Physician; General Surgeon; Nephrologist; Orthopaedics; Urologist,45,acfb966f-91b3-48d0-a5d2-19ae308fe773
hsr layout,901910,Diabliss Medical Centre,General Physician,45,9e706e74-eda1-4e02-89d0-54a63686809c
hsr layout,1184471,Janya Fertility,General Gynecology,44,3bdecc93-263a-48f2-88b4-2f4dfed98a13
hsr layout,1420523,Milann IVF Fertility Center HSR Layout,General Gynecology; Urologist,44,7c77938d-af7b-4a25-9659-ffd0204c5f65
hsr layout,923062,Nanda Oncology Clinic,General Surgeon,44,0e03b202-1606-4d31-8bd4-25d7948dcb69
hsr layout,1160584,Vishvas fertility and Gynaecology Centre,General Gynecology,43,c9b194cc-c9f8-45af-8a9b-51c3758f6895
hsr layout,1232215,Healvibe Healthcare,Dietitian; General Alt Medicine; Homeopathy,42,c2c3a733-732b-42de-a9cf-06de70fbc67c
hsr layout,697572,V-Care Dental Speciality Clinic,General Dentistry,41,9eff7453-706d-4de8-a945-8c4d65e6745e
hsr layout,1407429,Belenus Champion Hospital,ENT; Gastroenterologist; General Dentistry; General Dermatology; General Pediatrics; General Physician; General Psychiatry; General Surgeon; Nephrologist; Neurologist; Orthopaedics; Physiotherapist; Pulmonologist,40,a8f06678-f714-4153-b832-48cc1d218cee
hsr layout,1389365,Elite Esthetics and Dental Clinic,General Dentistry,39,34f4f601-a9b5-4b62-a440-d58e921d78d4
hsr layout,1458889,Aarogya Hastha Hospitals,ENT; General Dermatology; General Gynecology; General Pediatrics; General Physician; General Surgeon; Neurologist; Orthopaedics; Radiology; Urologist,38,18cc6b10-d0be-4099-9f2a-180dc4a7a724
hsr layout,673637,Skin Hair & Cosmetology Clinic,General Dermatology,38,8ce226f8-587b-4fed-832e-7ac2a3f85084
hsr layout,1324492,Leo Dental  Invisalign Aligners and Braces,General Dentistry,37,6045b497-919a-4bcc-bcd8-95bccb972872
hsr layout,1145991,Kiran Infertility Center,General Gynecology,37,98ce7bb7-0672-43b7-8987-3a537e36e7b0
hsr layout,1050226,Paediatrix Clinic,General Pediatrics; Speech Therapist,36,848e5337-4024-4e21-9cc1-c5aa0a801532
hsr layout,1276704,Docube Healthcare - Smile And Aesthetic Dental Clinic,General Dentistry,35,bb01a45e-c181-4879-a528-d6234e44b014
hsr layout,1269568,Dental Diagnostic Centre-DDC Smiles,General Dentistry,35,3d1f2c7c-c945-4ad7-9255-c066e028e41a
hsr layout,690322,Orthocentre,Orthopaedics,35,407814f4-774b-400a-b784-86deac91f399
hsr layout,2084287,Medlife Hospital,Cardiologist; Cosmetic/Plastic Surgeon; ENT; General Gynecology; General Physician; General Surgeon; Nephrologist; Neurologist; Urologist,34,2ef152b5-6bef-4f1f-a5f5-cc5dccca1272
hsr layout,737335,Oliva Skin & Hair Clinic,Dietitian; General Dermatology,34,8d28d38c-b687-4b8a-8d1c-95b9273fc356
hsr layout,1473545,Dr. Yasaswi's Brain Spine Neuro Centre,Cosmetic/Plastic Surgeon; ENT; General Dentistry; General Gynecology; General Physician; General Surgeon; Neurologist; Orthopaedics; Physiotherapist,33,130e4262-2f4e-485d-bc97-9768124875da
hsr layout,1207935,Dental Trendz,General Dentistry,33,a96181a7-36c7-40ef-8a18-bacce31c91bf
hsr layout,1442511,Dr. Anita Skinn Clinic,General Dermatology,33,76de24c3-e572-4bed-ad48-e4b937d065d0
hsr layout,639370,Vasan Eye Care Hospital,General Ophthalmology,33,db65df42-ad3e-4787-83bd-31cdf1d8802e
hsr layout,1323304,Healhood,General Psychiatry,33,2e93f2ce-69d1-4585-b949-757ea3e79256
hsr layout,614237,Ashadeep ENT Centre,ENT; Speech Therapist,32,0a1d953d-6ed4-4dce-b883-b44f586773fa
hsr layout,655196,Smiles Dental Studio,General Dentistry,32,924eec89-8aec-4b54-8de3-04692775b27d
hsr layout,892620,Regenerating Lives,General Psychiatry,32,a217abe8-e5f6-4bbf-9e02-3cfe5c1ed18e
hsr layout,663091,Acura Speciality Hospital,Cosmetic/Plastic Surgeon; General Gynecology; General Pediatrics; Oncologist; Orthopaedics,31,fcaa3d87-dae6-4c97-b217-9bde463165eb
hsr layout,690237,Sathyadeep Dental Clinic,General Dentistry,31,e938cb9d-3cd0-4ac4-b802-2e206ec1d91f
hsr layout,1266511,Goodwill Children’s Clinic,General Pediatrics,31,1e2e6902-4b32-4713-831a-3265c4478d97
hsr layout,1125162,Ameya Healthcare Multispecialty Center,Endocrinologist; General Psychiatry,30,bcc2fe52-89fc-49a4-bfa3-3c6070ce153a
hsr layout,2088978,EQUA Center Of Excellence For Obesity Care,General Physician,30,2acf1258-ff30-4741-b4b4-a1a0e49266f9
hsr layout,1406106,Manipal Hospital,ENT; General Physician; Orthopaedics,29,ba45e1b3-0811-41bb-b585-f741e6128713
hsr layout,1139154,Dental Diagnostic Centre-DDC Smiles,General Dentistry,29,8dac62c0-eb5e-4fa6-bd27-d8fbb7656309
hsr layout,702434,HSR Diabetes and Diagnostic Centre,General Physician,29,748c4788-eaff-474a-92c4-59feee6e2955
hsr layout,727666,Bangalore ENT Care Centre,ENT,28,b31b419d-5082-489e-a426-aff6a7fa4963
hsr layout,2083359,Allure Skin and Multi Speciality Clinic,General Dermatology; General Physician; Orthopaedics,28,fe4a8ab5-f9ef-4bd7-a4ed-223537adf4c0
hsr layout,1475322,Apollo Cradle And Fertility Clinic,General Gynecology; General Pediatrics,28,a3f562cf-fec3-4e99-8708-9c223149465f
hsr layout,1351087,Oasis Fertility,General Gynecology; Urologist,27,09ec224f-d75c-4445-9348-b2ae340953b6
hsr layout,1410325,Dr. Sood's Orthopaedic and Women Care Center,General Gynecology; Orthopaedics,27,7fcad6a8-d03e-4b31-b655-32eb9a8749fc
hsr layout,1439413,Mindspace,General Psychiatry,27,368f069c-77fa-46dc-80df-e644d97677e1
hsr layout,1303510,Iskin Clinic,General Dermatology,26,90a795b2-78e5-4048-b618-66a553d6dcf4
hsr layout,665606,Aspire Fertility Center,General Gynecology; General Pediatrics,26,a583bf88-8a2b-4529-95e2-9079454d92b6
hsr layout,1122109,Chinmayi Child Care Clinic,General Pediatrics,26,0f82085d-88e1-4074-a714-55ef11e47019
hsr layout,1192773,Rainbow,General Psychiatry,26,8e9f41ad-98ff-416c-a7d2-37f536ef2a52
hsr layout,1249957,Zelus Physiotherapy,Physiotherapist,26,882df0ba-d9f3-49f5-a701-83a19aa19726
hsr layout,1444321,The Urban Physio Care Physiotherapy And Rehab Centre,Physiotherapist,26,9157859a-4b97-4356-b215-bb93275acaa0
hsr layout,1594206,"Narayana Multispeciality Clinic, Hsr Bda Complex, Bangalore",Cardiologist; ENT; General Dermatology; General Gynecology; General Surgeon,25,39c0c64f-311e-4c3e-a179-5c45e84fccda
hsr layout,2170298,Delta Superspeciality Clinic,Endocrinologist,25,e4a449da-3fb2-43b3-bb10-3b9ac87bdcad
hsr layout,707835,Dr.Deepak Daryani's HSR Dental Clinic & Implant Centre,General Dentistry,25,b7022094-58fc-4dc3-9642-2a9f4d981b37
