practice_id,practice_name,zone,speciality,monetisable_txns
1111420,Surgeon Gowda's Gastro & Laparoscopy Centre,hegde nagar,General Surgeon,82
1315368,Svasthya Health,hsr layout,General Physician,82
1328152,All Care Dental Centre - since 1969,indiranagar,General Dentistry,82
1444483,Medax Hospitals Gottigere LLP,jp nagar,General Physician,82
637575,Manipal Hospital,kalyan nagar,Pulmonologist,82
1364799,Trinity Multispecialty Clinic,whitefield,General Gynecology,82
1163290,Manipal Hospital,hsr layout,General Gynecology,81
1242917,Ritu Women's Clinic,kalyan nagar,General Gynecology,81
842167,Retina Institute Of Karnataka,vijayanagar,General Ophthalmology,81
985343,Motherhood Hospital,electronics city,General Gynecology,80
779908,Akshatha Skin And Hair Care Centre,hsr layout,General Dermatology,80
1155033,Kulkarni Orthopedic and Surgical Centre,indiranagar,Orthopaedics,80
1183274,Oliva Skin & Hair Clinic,hsr layout,General Dermatology,79
920071,Apollo Medical Centre,hsr layout,General Physician,79
1122944,Apollo Cradle & Children’s Hospital,jp nagar,General Pediatrics,79
728755,Apollo Hospital,jp nagar,General Surgeon,79
702709,Apollo Medical Centre,whitefield,ENT,79
667644,Mind and Brain hospital,yelahanka,General Psychiatry,79
1362746,Cloudnine Hospital - Electronics City,electronics city,General Gynecology,78
693857,Osteon Fracture and Orthopaedic Clinic,indiranagar,Orthopaedics,78
1276829,Trustwell Hospitals,malleswaram,General Surgeon,78
1474078,Apollo One,electronics city,General Dermatology,77
1157517,Impla Dental Care,hsr layout,General Dentistry,77
879669,Apollo Clinic,hsr layout,General Dermatology,77
1149834,Greenview Medical Center,hsr layout,General Physician,77
896645,Apollo Clinic,indiranagar,General Dermatology,77
1131812,Manipal Hospitals,malleswaram,General Gynecology,77
930035,Sagar Hospitals,vijayanagar,General Physician,77
1102131,Manipal Hospital Whitefield,whitefield,Cardiologist,77
1692045,Image Diagnostics and Gastro care,yelahanka,Gastroenterologist,77
742802,Tricho-Derma Hair & Skin Speciality Clinic,jp nagar,General Dermatology,76
730644,"Skin, Cosmetic & ENT  Care Center",jp nagar,General Dermatology,76
1452721,Sukoon Psychiatry Centre,malleswaram,General Psychiatry,76
1131816,Manipal Hospital Varthur Road (formerly Columbia Asia Hospital),whitefield,General Pediatrics,76
1163290,Manipal Hospital,hsr layout,Endocrinologist,75
1106241,Cloudnine Hospital,hsr layout,General Gynecology,75
630200,Manipal Hospitals Old Airport Road,marathahalli,Urologist,75
1322328,Sai Thunga Hospitals,hsr layout,General Gynecology,74
1135026,Sakra World Hospital,hsr layout,Orthopaedics,74
788401,Matoshree Kidney Stone Center & UroNephro Clinic,hsr layout,Urologist,74
1141637,Apollo Clinic,jp nagar,ENT,74
1319951,Aster RV Hospital,jp nagar,General Gynecology,74
637575,Manipal Hospital,kalyan nagar,General Gynecology,74
1279670,Ayana Clinic,yelahanka,Neurologist,74
712236,Apollo Clinic,hsr layout,General Gynecology,73
1264968,Sports Orthopedics Institute,hsr layout,Orthopaedics,73
1177154,Passion Fruit Relationship & Sexual Wellness,hsr layout,Sexologist,73
1180639,Vedanta Gastro Centre,indiranagar,Gastroenterologist,73
1389149,Dr. Prashant's Clinic,indiranagar,General Physician,73
2076082,Kauvery Hospital,marathahalli,Neurologist,73
1312752,Kauvery Hospitals,electronics city,General Pediatrics,72
850032,Nikad Ortho Centre,indiranagar,Orthopaedics,72
1365072,Camry Hospitals,jp nagar,General Gynecology,72
1027776,Nan's Clinic,jp nagar,General Pediatrics,72
1692368,SVM Hospital,marathahalli,General Physician,72
744758,Ivory Dental,whitefield,General Dentistry,72
1102131,Manipal Hospital Whitefield,whitefield,General Surgeon,72
1131816,Manipal Hospital Varthur Road (formerly Columbia Asia Hospital),whitefield,Neurologist,72
2096648,Manipal Hospital,yelahanka,General Pediatrics,72
1130291,Kosmodent Dental Studio and Implant Centre,hsr layout,General Dentistry,71
1141637,Apollo Clinic,jp nagar,General Physician,71
1422628,DHEE Hospitals,jp nagar,Orthopaedics,71
637575,Manipal Hospital,kalyan nagar,General Dermatology,71
1125922,Oliva Skin And Hair Clinic,whitefield,General Dermatology,71
1131824,Nano Hospitals,jp nagar,General Pediatrics,70
1133441,DNA Skin Clinic and Wellness centre,kalyan nagar,General Dermatology,70
639200,Sankara Eye Hospital,whitefield,General Ophthalmology,70
1309151,Mindful TMS Neurocare,whitefield,General Psychiatry,70
1131816,Manipal Hospital Varthur Road (formerly Columbia Asia Hospital),whitefield,General Psychiatry,70
630200,Manipal Hospitals Old Airport Road,marathahalli,General Ophthalmology,69
670682,Cosmetic Skin Care Clinic,hsr layout,General Dermatology,68
1154158,BAU - Bangalore Advanced Urology Clinic,hsr layout,Urologist,68
1149834,Greenview Medical Center,hsr layout,ENT,67
712236,Apollo Clinic,hsr layout,General Dermatology,67
659126,Marvel Multispeciality Hospital,hsr layout,General Physician,67
2089448,Sakra IKOC Multispeciality Hospital,hsr layout,Orthopaedics,67
1222473,Ayaansh Hospital,indiranagar,General Gynecology,67
1346063,Kasper Multispecialty Clinic,indiranagar,General Psychiatry,67
1041383,Manipal Hospital,jp nagar,General Physician,67
776696,Trilife Hospital,kalyan nagar,Orthopaedics,67
918580,SPARSH Hospital,malleswaram,General Gynecology,67
1131816,Manipal Hospital Varthur Road (formerly Columbia Asia Hospital),whitefield,Gastroenterologist,67
1324766,Indira IVF - Fertility and IVF Center,jp nagar,General Gynecology,66
1146253,Aster CMI Hospital,kalyan nagar,General Gynecology,66
1368505,Swetha Skin & Hair Clinic,haralur,General Dermatology,65
690228,Senses ENT Care Centre,hsr layout,ENT,65
655158,Skin Clinic,indiranagar,General Dermatology,65
776696,Trilife Hospital,kalyan nagar,Pulmonologist,65
630200,Manipal Hospitals Old Airport Road,marathahalli,General Dermatology,65
1193338,Motherhood Hospital,vijayanagar,General Gynecology,65
1257178,Mommy and Me,hsr layout,General Gynecology,64
2075718,Vasan Eye Care,hsr layout,General Ophthalmology,64
1713746,Columbiaa Hospital,indiranagar,General Ophthalmology,64
721521,Eshwar Ortho Clinic,indiranagar,Orthopaedics,64
1055989,Apollo Hospitals,malleswaram,General Psychiatry,64
630200,Manipal Hospitals Old Airport Road,marathahalli,General Pediatrics,64
1403055,Aster Whitefield Hospital,whitefield,Cardiologist,64
1362493,Vida Skin & Hair Transplant Clinic,whitefield,General Dermatology,64
761099,Cloudnine Hospital - Whitefield,whitefield,General Pediatrics,64
1158589,Svasti Heart and Dental Care,hsr layout,Cardiologist,63
660707,Anexas Clinic,hsr layout,General Pediatrics,63
1163861,Narayana Nethralaya,jp nagar,General Ophthalmology,63
1381908,Hosmat Hospital Pvt Ltd,kalyan nagar,Orthopaedics,63
1180089,Ovum Woman & Child Speciality Hospital,vijayanagar,General Gynecology,63
2089770,Devi Super Speciality Eye Hospital,hsr layout,General Ophthalmology,62
1271617,Nelivigi Multispeciality and Urology Hospital,hsr layout,Urologist,62
1195753,"Prabha Venkatesh Orthopedic, Skin & Hair Clinic",indiranagar,General Dermatology,62
728755,Apollo Hospital,jp nagar,Orthopaedics,62
1186999,Ovum Woman and Child Speciality Hospital,kalyan nagar,General Gynecology,62
1360592,Disha clinic,kalyan nagar,General Gynecology,62
1392213,Krishna Healthcare,marathahalli,General Physician,62
741854,Little Blossom Woman & Child Clinic,whitefield,General Pediatrics,62
1135026,Sakra World Hospital,hsr layout,General Physician,61
1147654,Life Plus Hospital,indiranagar,General Gynecology,61
1434480,Skinmatics,kalyan nagar,General Dermatology,61
1156656,Motherhood Hospital,kalyan nagar,General Gynecology,61
711687,Manipal Hospital Malleshwaram,malleswaram,General Physician,61
741393,Derma Solutions,marathahalli,General Dermatology,61
2076082,Kauvery Hospital,marathahalli,General Gynecology,61
1136698,Aveksha Hospital,yelahanka,General Gynecology,61
1243387,AARNA CLINIC,yelahanka,General Physician,61
920071,Apollo Medical Centre,hsr layout,General Dermatology,60
1175053,Marigold Hospital,hsr layout,General Physician,60
1131824,Nano Hospitals,jp nagar,General Physician,60
1362850,Sri Rheumatology And Immunology Center,jp nagar,Orthopaedics,60
1455357,Tata MD Healthcare Centre,whitefield,Orthopaedics,60
1102131,Manipal Hospital Whitefield,whitefield,Urologist,60
1312752,Kauvery Hospitals,electronics city,General Surgeon,59
769086,Little Pearls Dental Clinic,hsr layout,General Dentistry,59
1395539,Accu Polyclinic,indiranagar,General Physician,59
1041383,Manipal Hospital,jp nagar,ENT,59
1140316,Apollo Sugar Clinic,jp nagar,Endocrinologist,59
1041383,Manipal Hospital,jp nagar,Urologist,59
1692368,SVM Hospital,marathahalli,ENT,59
1716006,5 Sports Health,mullur,Orthopaedics,59
1451884,Cloudnine Hospital,whitefield,General Gynecology,59
1403055,Aster Whitefield Hospital,whitefield,Oncologist,59
730890,Motherhood Hospital,yelahanka,General Gynecology,59
1362746,Cloudnine Hospital - Electronics City,electronics city,General Pediatrics,58
758327,Foods & Nutrition by Silky Mahajan,hsr layout,Dietitian,58
1413052,Curemaxx Hospitals,hsr layout,Orthopaedics,58
993728,Serenity Wellness Institute,jp nagar,General Alt Medicine,58
1376785,Pralash Dermystique And Dentique Clinic,kalyan nagar,General Dermatology,58
2078747,Sparsh Hospital,kalyan nagar,General Physician,58
1466123,Medicover Hospitals - Bangalore,whitefield,General Pediatrics,58
748306,Punarjani ENT Care,hsr layout,ENT,57
